production,population,gdp,famine
473.0,24441074.0,55252414130.3019,0
497.0,24827406.0,58147522522.5225,0
482.0,25199748.0,55501467877.381,0
475.0,25561299.0,50187324567.882996,0
519.0,25914879.0,51744749133.213,0
531.0,26261363.0,52030158775.4055,0
516.0,26601467.0,54777553515.0809,0
534.0,26937738.0,58731030121.8671,0
547.0,27273194.0,66768703497.5687,0
521.0,27610410.0,76060606060.606,0
527.0,27949944.0,88643193061.748,0
534.0,28292724.0,102170981144.136,0
521.0,28641980.0,120550599815.441,0
565.0,29001507.0,120822986521.479,0
578.0,29373646.0,147528937028.778,0
554.0,29759989.0,171761737046.585,0
546.0,30158966.0,192648999090.082,0
552.0,30565716.0,201217661645.50897,0
6269.0,906507.0,706991274.414428,0
6387.0,921379.0,827094668.018707,0
6732.0,933499.0,1019630847.1111301,0
6366.0,949888.0,1216229419.3180199,0
6541.0,966039.0,1136543003.2664,0
6586.0,980462.0,1147192916.68998,0
6815.0,992521.0,1082939379.16762,0
6763.0,1001691.0,1094857357.63954,0
7121.0,1012221.0,1044928624.7400401,0
7370.0,1020528.0,1080642033.34952,0
7198.0,1028360.0,1469046114.77455,0
7476.0,1036082.0,1888754655.1536698,0
7717.0,1043239.0,2143484487.6727397,0
8001.0,1051260.0,2191096860.2866898,0
8280.0,1058775.0,2653480001.34558,0
8268.0,1070266.0,2856890680.60285,0
8266.0,1084441.0,3224267547.80508,0
8103.0,1097374.0,3263368410.0181303,0
8553.0,1112846.0,3558137040.3777204,0
8621.0,1122457.0,4040345933.29231,0
8981.0,1133996.0,4421943910.49749,0
9012.0,1148284.0,4187367601.73431,0
9136.0,1160421.0,4169664285.3868103,0
9158.0,1175267.0,4291172815.63421,0
9387.0,1186873.0,4582555124.64952,0
9974.0,1196287.0,4536538210.66761,0
9696.0,1204621.0,4767303153.99506,0
9709.0,1213370.0,5609831328.0648,0
10169.0,1221003.0,6385695187.0102,0
10262.0,1228254.0,6283803256.01264,0
10321.0,1233996.0,7028803365.70151,0
10810.0,1239630.0,8150138757.15741,0
11251.0,1244121.0,9990370016.307709,0
11109.0,1247429.0,9128843109.15588,0
11336.0,1250400.0,10003670690.3497,0
11438.0,1252404.0,11518393367.2403,0
11738.0,1255882.0,11668685524.1265,0
11990.0,1258653.0,12129642296.4425,0
2565.0,10483000.0,19666256019.7111,0
2592.0,10742000.0,19911524246.8362,0
2737.0,10950000.0,21527606674.8796,0
2949.0,11167000.0,23787658192.4068,0
2978.0,11388000.0,25962593795.4978,0
2976.0,11651000.0,27288610146.712997,0
3244.0,11799000.0,30421099787.2102,0
3295.0,12009000.0,32687870982.1929,0
3342.0,12263000.0,36659200358.3828,0
3493.0,12507000.0,41304737372.6061,0
3387.0,12937000.0,45183111210.6619,0
3394.0,13177000.0,52003504672.8972,0
3512.0,13380000.0,63782190903.2671,0
3533.0,13723000.0,88906411201.1791,0
3669.0,13893000.0,97226546497.3372,0
3660.0,14033000.0,104974158578.092,0
3865.0,14192000.0,110266116081.67,0
4017.0,14358000.0,118400631626.438,0
4171.0,14514000.0,134793820288.53801,0
4127.0,14692000.0,149887465181.059,0
4200.0,14927000.0,176804829908.278,0
4272.0,15178000.0,193954540439.148,0
4623.0,15369000.0,177176415535.798,0
4962.0,15544000.0,193503894222.061,0
4908.0,15758000.0,180470967247.066,0
5064.0,16018400.0,182281757134.863,0
4958.0,16263900.0,189375992588.67102,0
5232.0,16532200.0,236135768335.274,0
5082.0,16814400.0,299941372852.37396,0
5132.0,17065100.0,311425933051.174,0
5155.0,17284000.0,326068597441.331,0
5178.0,17495000.0,325692532492.502,0
5229.0,17667000.0,312372821810.00604,0
5625.0,17855000.0,323216879972.328,0
5519.0,18072000.0,368391743391.743,0
5498.0,18311000.0,401819423368.74,0
5568.0,18517000.0,436097980904.68,0
5602.0,18711000.0,399778878111.646,0
5931.0,18926000.0,389146509587.66797,0
5821.0,19153000.0,415446209885.072,0
5733.0,19413000.0,378899860470.108,0
5834.0,19651400.0,394635830891.586,0
5936.0,19895400.0,466853232382.062,0
6157.0,20127400.0,613329776639.636,0
6355.0,20394800.0,693764095624.718,0
6418.0,20697900.0,747572626534.891,0
6624.0,20827600.0,853764622752.61,0
6771.0,21249200.0,1055334825425.25,0
6770.0,21691700.0,927168310999.853,0
6739.0,22031750.0,1142876772659.21,0
6948.0,22340024.0,1390557034407.97,0
7174.0,22728254.0,1538194473087.23,0
7459.0,23117353.0,1567178619062.28,0
5145.0,10168000.0,1444327731.0924401,0
5188.0,10443000.0,1434156378.6008198,0
5445.0,10582000.0,1240672268.9075599,0
5335.0,10903000.0,1309747899.1596599,0
4935.0,11164000.0,1698319327.73109,0
5463.0,11439000.0,1751470588.23529,0
5752.0,11703000.0,1859465020.5761302,0
5545.0,11992000.0,1801344537.81513,0
5737.0,12252000.0,1965546218.4873898,0
5796.0,12514000.0,2296470588.23529,0
5563.0,12690000.0,2369308600.33727,0
5570.0,12861000.0,2553936348.40871,0
5901.0,13091000.0,2875625000.0,0
5777.0,13284000.0,3574586466.16541,0
5537.0,13496000.0,3791298145.50642,0
5648.0,13717000.0,3591319857.3127203,0
5918.0,13942000.0,4104509582.86359,0
5863.0,14190000.0,2733183856.5022397,0
6198.0,14472000.0,3364611432.24149,0
5578.0,14747000.0,4024621899.5765295,0
5965.0,14847000.0,4415844155.84416,0
6198.0,15096000.0,4768765016.81884,0
5900.0,15339000.0,5167913302.16745,0
5986.0,15583000.0,6043474842.76729,0
6182.0,15831000.0,5978460972.017671,0
6376.0,16083000.0,6405210563.88294,0
6209.0,16339000.0,6682167119.56522,0
6416.0,16593000.0,6978371581.26375,0
6336.0,16841000.0,6987267683.77254,0
6615.0,17078000.0,8032551173.240141,0
6426.0,17306000.0,9000362581.58086,0
6959.0,17524000.0,9703011635.86585,0
6868.0,17728000.0,10338679635.7616,0
6638.0,17912000.0,11717604208.8223,0
6601.0,18074000.0,13029697560.9756,0
7075.0,18210000.0,13897738375.2488,0
6746.0,18323000.0,15091913883.7091,0
6503.0,18425000.0,15794972847.1683,0
7065.0,18532000.0,15656327859.5696,0
7349.0,18655000.0,16330814179.9766,0
7511.0,18797000.0,15746229581.5619,0
7186.0,18939000.0,16536535647.0834,0
6962.0,19083000.0,18881765437.2151,0
7404.0,19228000.0,20662525941.2986,0
7226.0,19373000.0,24406252456.5141,0
7436.0,19520000.0,28279814924.5918,0
7983.0,19668000.0,32350248410.8216,0
8156.0,19817000.0,40713812309.7316,0
7700.0,19968000.0,42066217871.5349,0
7485.0,20119000.0,56725745039.336,0
7491.0,20271000.0,65292741296.5382,0
7444.0,20425000.0,68434399083.41,0
7835.0,20585000.0,74317806754.5267,0
20.0,11638712.0,13493833739.9949,0
21.0,11805689.0,14647057370.1418,0
21.0,11965966.0,15891241386.291,0
22.0,12127120.0,18699380731.3465,0
23.0,12294732.0,21000586933.2041,0
25.0,12456251.0,22867203317.4022,0
26.0,12598201.0,25087562181.3218,0
26.0,12729721.0,27817605743.2503,0
27.0,12877984.0,31503868835.1853,0
28.0,13038526.0,37677621537.7123,0
28.0,13194497.0,44010160463.6591,0
29.0,13328593.0,54008338917.8797,0
30.0,13439322.0,70924006306.1643,0
33.0,13545056.0,86129928026.8875,0
34.0,13666335.0,98970041042.175,0
37.0,13774037.0,107775403067.17801,0
39.0,13856185.0,125395875998.923,0
41.0,13941700.0,153870462415.971,0
41.0,14038270.0,177376289135.45,0
44.0,14149800.0,192661371425.405,0
44.0,14247208.0,162039376225.382,0
45.0,14312690.0,156456858050.673,0
48.0,14367070.0,151487045479.114,0
51.0,14424211.0,142075910370.879,0
54.0,14491632.0,142009922306.263,0
56.0,14572278.0,198298498021.227,0
59.0,14665037.0,241918791122.715,0
61.0,14760094.0,258567751142.825,0
60.0,14848907.0,255039560739.89398,0
59.0,14951510.0,314267667675.178,0
60.0,15069798.0,323320449905.705,0
62.0,15184166.0,358330385839.599,0
65.0,15290368.0,349037818106.312,0
70.0,15382838.0,374291430318.44,0
74.0,15459006.0,446528959648.641,0
76.0,15530498.0,445704575163.399,0
81.0,15610650.0,412199006098.938,0
84.0,15707209.0,432476116418.574,0
84.0,15812088.0,441975282335.39294,0
88.0,15925513.0,412807259996.315,0
88.0,16046180.0,426573601789.709,0
93.0,16148929.0,465368906455.863,0
97.0,16225302.0,571863431151.2421,0
98.0,16281779.0,650532654581.574,0
101.0,16319868.0,678533764457.157,0
109.0,16346101.0,726649102998.369,0
106.0,16381696.0,839419655078.018,0
110.0,16445593.0,936228211513.11,0
111.0,16530388.0,857932759099.75,0
115.0,16615394.0,836389937229.197,0
120.0,16693074.0,893757287201.688,0
117.0,16754962.0,828946812396.788,0
115.0,16804432.0,866680000367.264,0
4264.0,145351.0,25203524.0325638,0
4299.0,149921.0,28084252.758274797,0
4437.0,154875.0,28606411.398041,0
4220.0,166212.0,50056882.821387894,0
4348.0,172598.0,40606712.050639,0
4498.0,179349.0,55272108.843537405,0
4610.0,186332.0,84539332.282562,0
4762.0,193445.0,74617096.4785967,0
5156.0,200640.0,83099107.9066357,0
4465.0,207937.0,93147039.2548237,0
4846.0,215347.0,111022089.96223001,0
4875.0,222897.0,151270207.85219398,0
4601.0,230607.0,168715353.097132,0
4569.0,238479.0,187313261.31923702,0
4488.0,246493.0,188446092.06055,0
4388.0,254596.0,180219397.527425,0
4143.0,262709.0,252806783.386983,0
3981.0,270801.0,232306861.15613198,0
3804.0,278838.0,210737869.652598,0
4204.0,286863.0,238606299.605651,0
3813.0,294964.0,310684273.709484,0
3746.0,303253.0,332286760.858189,0
3760.0,311840.0,302515026.890225,0
3582.0,320753.0,320355090.61441,0
3609.0,329953.0,378778047.197842,0
3976.0,339456.0,410923236.189102,0
4022.0,349225.0,464756638.512487,0
4280.0,359225.0,519334096.714525,0
4483.0,369469.0,565163750.5607901,0
4728.0,379947.0,567919502.811483,0
4877.0,390643.0,471177008.05714804,0
4917.0,401538.0,482214092.30896395,0
5031.0,412609.0,435103853.485036,0
5355.0,423853.0,400463452.06517595,0
5394.0,435262.0,341661643.551446,0
6276.0,446769.0,332738245.913215,0
6265.0,458324.0,375111894.932329,0
6930.0,469885.0,413909879.28126496,0
7223.0,481422.0,456705433.99697804,0
7571.0,492940.0,516074228.95974904,0
7619.0,504477.0,608293860.271816,0
8183.0,516079.0,597765363.128492,0
8157.0,527790.0,671585343.170686,0
8070.0,539614.0,886498370.6960859,0
8252.0,551531.0,1025125081.5749401,0
8361.0,563513.0,1059695156.18795,0
3726.0,9166764.0,548888895.5555559,0
4073.0,9345868.0,546666677.777778,0
4262.0,9533954.0,751111191.111111,0
4370.0,9731361.0,800000044.4444441,0
4485.0,9938414.0,1006666637.77778,0
4397.0,10152331.0,1399999966.6666698,0
4653.0,10372630.0,1673333417.77778,0
4764.0,10604346.0,1373333366.6666698,0
4823.0,10854428.0,1408888922.22222,0
5121.0,11126123.0,1748886595.5555599,0
5261.0,11417825.0,1831108971.1111102,0
5374.0,11721940.0,1595555475.5555599,0
5670.0,12027822.0,1733333264.4444401,0
5794.0,12321541.0,2155555497.77778,0
5892.0,12590286.0,2366666615.55556,0
6112.0,12840299.0,2555555566.66667,0
6341.0,13067538.0,2953333417.77778,0
6625.0,13237734.0,3300000108.88889,0
6869.0,13306695.0,3697940409.6109796,0
7293.0,13248370.0,3641723321.99546,0
7897.0,13053954.0,3478787909.09091,0
14155.0,20966463.0,2461665937.8938603,0
14582.0,21979923.0,4128820723.0471296,0
15102.0,23064851.0,4583644246.48061,0
15568.0,24118979.0,5285465685.86423,0
15446.0,25070798.0,6275073571.54659,0
16178.0,25893450.0,7057598406.61553,0
16399.0,26616792.0,9843842455.48323,0
16972.0,27294031.0,10190529882.4878,0
16961.0,28004331.0,12486943505.7381,0
17736.0,28803167.0,15936800636.2487,0
18123.0,29708599.0,17930239399.8149,0
18195.0,30696958.0,20536542736.7297,0
18550.0,31731688.0,20046334303.9661,0
109.0,46095462.0,8905066163.58643,0
113.0,46627994.0,6477790688.22844,0
114.0,47140220.0,6777632512.0781,0
120.0,47624894.0,10467109977.6717,0
109.0,48073707.0,10567354056.4049,0
121.0,48482614.0,11986972418.5103,0
122.0,48846474.0,14502553709.8303,0
127.0,49171586.0,20182477480.5512,0
118.0,49479752.0,31862554101.9378,0
122.0,49800690.0,36906181380.8127,0
119.0,50155896.0,49540813342.4834,0
121.0,50553031.0,59977326085.9908,0
118.0,50986514.0,59937797559.3295,0
119.0,51448196.0,60269734044.52599,0
1505.0,260374.0,2023318251.8769,0
1673.0,261275.0,2007109829.46353,0
1782.0,262184.0,1950900000.0,0
1673.0,263089.0,2046189031.96937,0
2186.0,264015.0,2151295182.22045,0
2303.0,264959.0,2261969870.23318,0
2153.0,265942.0,2411872918.01323,0
1891.0,266945.0,2549296474.91672,0
1849.0,267950.0,2874459304.9271603,0
2064.0,268922.0,3012081738.17929,0
2199.0,269847.0,3121500000.0,0
2058.0,270685.0,3116650000.0,0
2586.0,271478.0,3169600000.0,0
2663.0,272258.0,3274850000.0,0
2802.0,273091.0,3514350000.0,0
2895.0,274009.0,3897300000.0,0
3134.0,275039.0,4246600000.0,0
2930.0,276150.0,4523750000.0,0
2971.0,277319.0,4607300000.0,0
3100.0,278470.0,4434050000.0,0
3661.0,279569.0,4461650000.0,0
3932.0,280601.0,4660900000.0,0
3911.0,281585.0,4656350000.0,0
3940.0,282509.0,4612500000.0,0
29583.0,1172550.0,599831979.8375809,0
29141.0,1265806.0,658078969.476337,0
29574.0,1377465.0,631755810.697284,0
28830.0,1498309.0,561187342.481098,0
29515.0,1615277.0,698963875.66508,0
29278.0,1718913.0,639596751.610193,0
28616.0,1806605.0,678241388.966676,0
27555.0,1881214.0,788574628.955475,0
